Row,Col,TSS,TA,Anth,BW,GTQ,Temp
1,1,21.9,7.1,579,1.97,3,21.4
1,2,19.8,6.8,767,1.77,3,21.4
1,3,20.3,8.1,574,1.89,2,21.4
1,4,21.4,8,511,2.3,2,21.4
1,5,22.5,7.4,656,1.93,3,21.4
1,6,22.7,8.9,555,1.97,3,21.4
2,1,22.4,7.1,497,2.12,2,21.4
2,2,23.3,10.5,588,1.89,3,21.4
2,3,20.9,6.2,683,1.91,2,21.4
2,4,21.8,8.9,611,1.85,4,21.4
2,5,21.5,7.1,583,1.67,3,21.4
2,6,21.3,6.5,532,1.85,2,21.4
3,1,18.7,5.3,642,1.66,2,21.4
3,2,21.5,4.7,579,1.83,2,21.4
3,3,20.3,7.1,599,1.89,2,21.4
3,4,23,6.3,744,2,3,21.4
3,5,21,5.3,842,2.05,3,21.4
3,6,22.4,5.9,669,2.03,2,21.4
4,1,20.8,3.9,586,1.34,2,21.4
4,2,22.3,6.5,688,1.64,3,21.4
4,3,21.1,5.6,723,1.78,3,21.4
4,4,21.7,6.3,735,1.89,3,21.4
4,5,20.9,5.3,859,1.41,4,21.4
4,6,19.4,8.4,455,1.9,2,21.4
5,1,19.5,4.7,882,1.44,3,21.4
5,2,21,6.2,772,1.46,3,21.4
5,3,19,5.9,527,1.84,1,21.4
5,4,21.4,4.8,700,1.46,3,21.4
5,5,19.2,5.9,641,1.72,2,21.4
5,6,21.7,7.4,716,1.65,4,21.4
6,1,23.3,5,812,1.68,3,21.4
6,2,22,6,705,1.65,3,21.4
6,3,20.3,5.3,641,1.78,2,21.4
6,4,20.8,4.7,663,1.88,2,21.4
6,5,21.2,4.5,543,1.67,2,21.4
6,6,21.6,4.2,739,1.75,2,21.4
7,1,22.7,6.3,1085,1.62,5,21.4
7,2,22,4.4,898,1.76,3,21.4
7,3,22,3.5,1013,2.04,4,21.4
7,4,21.6,4.2,648,1.84,2,21.4
7,5,22,7.1,355,1.94,3,21.4
7,6,24.7,7.2,607,1.89,3,21.4
8,1,22.1,7.7,420,1.73,3,21.4
8,2,20.3,4.7,618,1.6,2,21.4
8,3,23.4,7.4,907,1.77,5,21.4
8,4,26.4,7.1,669,1.8,4,21.4
8,5,22.1,5.1,637,2.03,2,21.4
8,6,22.4,9.6,543,1.75,3,21.4
1,1,24,6.5,963,1.76,4,20.5
1,2,22.1,6,959,1.75,4,20.5
1,3,22.8,6.3,819,1.77,4,20.5
1,4,23,6.6,621,1.81,3,20.5
1,5,23.2,6.3,751,1.8,3,20.5
1,6,24.7,6.9,558,1.93,3,20.5
2,1,22.7,6.5,700,1.84,3,20.5
2,2,22.5,6.6,749,1.81,3,20.5
2,3,25.2,6.5,905,1.5,5,20.5
2,4,24.4,7.2,821,1.87,4,20.5
2,5,23.9,6.6,959,1.96,4,20.5
2,6,24.5,6.8,669,1.93,3,20.5
3,1,21.9,5.9,756,1.65,3,20.5
3,2,22.1,5.7,872,1.87,4,20.5
3,3,23.9,6.8,695,1.59,4,20.5
3,4,26.8,7.3,1029,1.64,5,20.5
3,5,25,6.6,1033,1.53,5,20.5
3,6,23.3,6.6,807,1.82,4,20.5
4,1,21.1,5.6,1094,1.74,4,20.5
4,2,22.4,5.6,1036,2,4,20.5
4,3,22.7,6,964,1.76,4,20.5
4,4,22.5,5.3,893,1.75,4,20.5
4,5,22.6,5.6,1181,1.64,5,20.5
4,6,24,6.8,651,1.75,3,20.5
5,1,20.1,6.2,845,1.63,3,20.5
5,2,21.9,5.5,908,1.88,4,20.5
5,3,22.2,6.8,921,1.53,5,20.5
5,4,23,6.6,1073,1.54,5,20.5
5,5,22.8,6.5,975,1.54,5,20.5
5,6,20.2,6.2,803,1.84,3,20.5
6,1,20.4,5.7,711,1.91,2,20.5
6,2,20.4,5.7,854,1.78,3,20.5
6,3,23.7,6.2,830,1.83,4,20.5
6,4,23.8,7.1,935,1.91,4,20.5
6,5,24.3,5.9,782,1.7,3,20.5
6,6,21.8,6.3,697,1.84,3,20.5
7,1,23.5,4.8,837,2.23,2,20.5
7,2,22.5,6,795,1.96,3,20.5
7,3,22.3,6.2,698,2.02,2,20.5
7,4,21.8,5.3,833,1.83,4,20.5
7,5,22.9,5.9,683,2.07,2,20.5
7,6,22,5.8,686,2.23,2,20.5
8,1,21.6,6.3,816,1.93,4,20.5
8,2,22.9,6.1,793,1.87,3,20.5
8,3,21.4,5.7,663,1.95,3,20.5
8,4,24.8,5.6,791,2.14,2,20.5
8,5,23,5.9,553,1.89,2,20.5
8,6,22.3,6.3,579,2.18,1,20.5
